timestamp,service,window_s,samples,cpu_percent,memory_percent,request_rate,p95_latency_ms,error_rate,current_replicas,available_replicas,hour_of_day,day_of_week,is_anomaly,scenario,target_replicas
2026-08-20T16:47:00+00:00,podinfo,30,3,0.5253,45.6706,0.7333,4.75,0.0,2.0,2.0,16,3,0,baseline,1
2026-08-20T16:47:30+00:00,podinfo,30,3,0.8274,45.8145,1.7185,4.75,0.0,2.0,2.0,16,3,0,baseline,1
2026-08-20T16:48:00+00:00,podinfo,30,3,1.9384,45.9213,4.8667,4.75,0.0,2.0,2.0,16,3,0,baseline,1
2026-08-20T16:48:30+00:00,podinfo,30,3,2.2157,46.8012,5.6074,4.75,0.0,2.0,2.0,16,3,0,baseline,1
2026-08-20T16:49:00+00:00,podinfo,30,3,2.2591,46.0317,5.5926,4.75,0.0,2.0,2.0,16,3,0,baseline,1
2026-08-20T16:49:30+00:00,podinfo,30,3,2.268,46.6761,5.6815,4.75,0.0,2.0,2.0,16,3,0,baseline,1
2026-08-20T16:50:00+00:00,podinfo,30,3,1.858,46.2468,5.9037,4.75,0.0,2.0,2.0,16,3,0,baseline,1
2026-08-20T16:50:30+00:00,podinfo,30,3,1.8376,46.2753,5.8222,4.75,0.0,2.0,2.0,16,3,0,baseline,1
2026-08-20T16:51:00+00:00,podinfo,30,3,1.9998,46.3104,5.7852,4.75,0.0,2.0,2.0,16,3,0,baseline,1
2026-08-20T16:51:30+00:00,podinfo,30,3,2.0853,46.3074,5.7926,4.75,0.0,2.0,2.0,16,3,0,baseline,1
2026-08-20T16:52:00+00:00,podinfo,30,3,2.027,46.3099,5.8222,4.75,0.0,2.0,2.0,16,3,0,baseline,1
2026-08-20T16:52:30+00:00,podinfo,30,3,1.5456,46.1187,4.5185,4.75,0.0,2.0,2.0,16,3,0,baseline,1
2026-08-20T16:53:30+00:00,podinfo,30,3,0.4842,46.1812,0.7333,4.75,0.0,2.0,2.0,16,3,1,spike,1
2026-08-20T16:54:00+00:00,podinfo,30,3,3.5352,46.6532,14.437,4.75,0.0,2.0,2.0,16,3,1,spike,1
2026-08-20T16:54:30+00:00,podinfo,30,3,11.0637,46.7453,45.6593,4.75,0.0,2.0,2.0,16,3,1,spike,4
2026-08-20T16:55:00+00:00,podinfo,30,3,11.9024,46.9365,51.0889,4.75,0.0,2.0,2.0,16,3,1,spike,4
2026-08-20T16:55:30+00:00,podinfo,30,3,11.9814,46.877,51.4,4.75,0.0,2.0,2.0,16,3,1,spike,4
2026-08-20T16:56:00+00:00,podinfo,30,3,12.1171,46.7794,50.8222,4.75,0.0,2.0,2.0,16,3,1,spike,4
2026-08-20T16:56:30+00:00,podinfo,30,3,12.0239,46.7453,50.7259,4.75,0.0,2.0,2.0,16,3,1,spike,4
2026-08-20T16:57:00+00:00,podinfo,30,3,13.313,46.6497,50.7333,4.75,0.0,2.0,2.0,16,3,1,spike,4
2026-08-20T16:57:30+00:00,podinfo,30,3,12.9103,46.8145,50.8741,4.75,0.0,2.0,2.0,16,3,1,spike,4
2026-08-20T16:58:00+00:00,podinfo,30,3,13.2084,46.7138,51.3704,4.75,0.0,2.0,2.0,16,3,1,spike,4
2026-08-20T16:58:30+00:00,podinfo,30,3,13.0777,46.6268,51.2741,4.75,0.0,2.0,2.0,16,3,1,spike,4
2026-08-20T17:00:00+00:00,podinfo,30,3,0.4493,46.1197,0.7333,4.75,0.0,2.0,2.0,17,3,0,steady_high,1
2026-08-20T17:00:30+00:00,podinfo,30,3,2.8806,46.5276,9.0519,4.75,0.0,2.0,2.0,17,3,0,steady_high,1
2026-08-20T17:01:00+00:00,podinfo,30,3,6.8584,46.5617,23.7778,4.75,0.0,2.0,2.0,17,3,0,steady_high,2
2026-08-20T17:01:30+00:00,podinfo,30,3,6.7458,46.5612,25.6593,4.75,0.0,2.0,2.0,17,3,0,steady_high,2
2026-08-20T17:02:00+00:00,podinfo,30,3,6.7107,46.5327,26.0,4.75,0.0,2.0,2.0,17,3,0,steady_high,2
2026-08-20T17:02:30+00:00,podinfo,30,3,6.6042,46.6258,25.6815,4.75,0.0,2.0,2.0,17,3,0,steady_high,2
2026-08-20T17:03:00+00:00,podinfo,30,3,6.0155,46.5622,25.9037,4.75,0.0,2.0,2.0,17,3,0,steady_high,2
